timestamp,x,y,theta,linear_speed,angular_speed,angular_cmd,speed_cmd,cte,safety_flag
1765903945.5741236,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5753877,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5759265,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.576263,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5768712,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.577393,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5777528,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.578065,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5783405,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.5786114,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.578917,0.0,0.0,0.0,1.25,-0.24043582053411577,-0.24043582053411577,1.25,0.3005447756676447,0
1765903945.582952,0.0,0.0,0.0,1.25,-0.2381816114698138,-0.2381816114698138,1.25,0.2977270143372672,0
1765903945.5992267,0.0,0.0,0.0,1.25,-0.2381816114698138,-0.2381816114698138,1.25,0.2977270143372672,0
1765903945.6046746,0.0,0.0,0.0,1.25,-0.24281419572376067,-0.24281419572376067,1.25,0.3035177446547008,0
1765903945.6073835,0.0,0.0,0.0,1.25,-0.24281419572376067,-0.24281419572376067,1.25,0.3035177446547008,0
1765903945.6118739,0.0,0.0,0.0,1.25,-0.2386749903361003,-0.2386749903361003,1.25,0.29834373792012536,0
1765903945.6158264,0.0,0.0,0.0,1.25,-0.2386749903361003,-0.2386749903361003,1.25,0.29834373792012536,0
1765903945.6199646,0.0,0.0,0.0,1.25,-0.2386749903361003,-0.2386749903361003,1.25,0.29834373792012536,0
1765903945.6363943,0.0,0.0,0.0,1.25,-0.23970526059468586,-0.23970526059468586,1.25,0.2996315757433573,0
1765903945.6419268,0.0,0.0,0.0,1.25,-0.23970526059468586,-0.23970526059468586,1.25,0.2996315757433573,0
1765903945.6428463,0.0,0.0,0.0,1.25,-0.2395260810852051,-0.2395260810852051,1.25,0.29940760135650635,0
1765903945.6467447,0.0,0.0,0.0,1.25,-0.2395260810852051,-0.2395260810852051,1.25,0.29940760135650635,0
1765903945.6605859,0.0,0.0,0.0,1.25,-0.23911838304428823,-0.23911838304428823,1.25,0.2988979788053603,0
1765903945.6620574,0.0,0.0,0.0,1.25,-0.23911838304428823,-0.23911838304428823,1.25,0.2988979788053603,0
1765903945.665461,0.0,0.0,0.0,1.25,-0.24054161480494907,-0.24054161480494907,1.25,0.30067701850618633,0
1765903945.6676216,0.0,0.0,0.0,1.25,-0.24054161480494907,-0.24054161480494907,1.25,0.30067701850618633,0
1765903945.671613,0.0,0.0,0.0,1.25,-0.24110519772484187,-0.24110519772484187,1.25,0.30138149715605234,0
