timestamp,x,y,theta,linear_speed,angular_speed,angular_cmd,speed_cmd,cte,safety_flag
1765903342.868489,0.0,0.0,0.0,0.5,-0.6,-0.6,0.5,0.3005447756676447,0
1765903342.8688622,0.0,0.0,0.0,1.25,-0.24256420977965773,-0.24256420977965773,1.25,0.3005447756676447,0
1765903342.8692174,0.0,0.0,0.0,1.25,-0.2425753092101594,-0.2425753092101594,1.25,0.3005447756676447,0
1765903342.8696542,0.0,0.0,0.0,1.25,-0.24258625099865266,-0.24258625099865266,1.25,0.3005447756676447,0
1765903342.8700097,0.0,0.0,0.0,1.25,-0.2425994427685388,-0.2425994427685388,1.25,0.3005447756676447,0
1765903342.8703542,0.0,0.0,0.0,1.25,-0.2426098686377318,-0.2426098686377318,1.25,0.3005447756676447,0
1765903342.8706954,0.0,0.0,0.0,1.25,-0.24261986457417456,-0.24261986457417456,1.25,0.3005447756676447,0
1765903342.8710184,0.0,0.0,0.0,1.25,-0.24263006114590074,-0.24263006114590074,1.25,0.3005447756676447,0
1765903342.8713374,0.0,0.0,0.0,1.25,-0.24263997109579347,-0.24263997109579347,1.25,0.3005447756676447,0
1765903342.871648,0.0,0.0,0.0,1.25,-0.2426490498423691,-0.2426490498423691,1.25,0.3005447756676447,0
1765903342.8739176,0.0,0.0,0.0,1.25,-0.2427176026193927,-0.2427176026193927,1.25,0.3005447756676447,0
1765903342.8779387,0.0,0.0,0.0,2.0,0.11471398952843201,0.11471398952843201,2.0,0.2977270143372672,0
1765903342.8873057,0.0,0.0,0.0,1.25,-0.24085849565892073,-0.24085849565892073,1.25,0.2977270143372672,0
1765903342.8880174,0.0,0.0,0.0,0.5,-0.6,-0.6,0.5,0.3035177446547008,0
1765903342.8907413,0.0,0.0,0.0,1.25,-0.24559281683923492,-0.24559281683923492,1.25,0.3035177446547008,0
1765903342.894153,0.0,0.0,0.0,1.25,-0.24570010410506615,-0.24570010410506615,1.25,0.3035177446547008,0
1765903342.8978083,0.0,0.0,0.0,0.5,0.44936540521326973,0.44936540521326973,0.5,0.29834373792012536,0
1765903342.901877,0.0,0.0,0.0,1.25,-0.2417929270284427,-0.2417929270284427,1.25,0.29834373792012536,0
1765903342.906182,0.0,0.0,0.0,0.5,-0.6,-0.6,0.5,0.3025490669977098,0
1765903342.9099205,0.0,0.0,0.0,1.25,-0.24539807950818232,-0.24539807950818232,1.25,0.3025490669977098,0
1765903342.9214084,0.0,0.0,0.0,2.0,-0.11560346774131466,-0.11560346774131466,2.0,0.2996315757433573,0
1765903342.9269483,0.0,0.0,0.0,1.25,-0.22354930185392938,-0.22354930185392938,1.25,0.29940760135650635,0
1765903342.9299295,0.0,0.0,0.0,1.25,-0.24348771067308123,-0.24348771067308123,1.25,0.29940760135650635,0
1765903342.9339905,0.0,0.0,0.0,1.25,-0.24360848582927758,-0.24360848582927758,1.25,0.29940760135650635,0
1765903342.9380324,0.0,0.0,0.0,1.25,-0.18041315338250236,-0.18041315338250236,1.25,0.2988979788053603,0
1765903342.9425874,0.0,0.0,0.0,1.25,-0.24345705605636941,-0.24345705605636941,1.25,0.2988979788053603,0
1765903342.9527485,0.0,0.0,0.0,0.5,-0.333192037670708,-0.333192037670708,0.5,0.30067701850618633,0
1765903342.9530845,0.0,0.0,0.0,1.25,-0.24519697225310189,-0.24519697225310189,1.25,0.30067701850618633,0
1765903342.9535103,0.0,0.0,0.0,1.25,-0.24520949596982175,-0.24520949596982175,1.25,0.30067701850618633,0
1765903342.9573493,0.0,0.0,0.0,0.5,-0.3396120819354558,-0.3396120819354558,0.5,0.30138149715605234,0
1765903342.9622114,0.0,0.0,0.0,1.25,-0.24603326565757927,-0.24603326565757927,1.25,0.30138149715605234,0
1765903342.9666603,0.0,0.0,0.0,0.5,0.3739753307879633,0.3739753307879633,0.5,0.2958830878848121,0
1765903342.9706876,0.0,0.0,0.0,1.25,-0.2418845251033747,-0.2418845251033747,1.25,0.2958830878848121,0
1765903342.974697,0.0,0.0,0.0,1.25,-0.24200321542609954,-0.24200321542609954,1.25,0.2958830878848121,0
1765903342.984631,0.0,0.0,0.0,0.5,-0.4151216726888346,-0.4151216726888346,0.5,0.2992490104266575,0
1765903342.9851058,0.0,0.0,0.0,1.25,-0.2450074951906781,-0.2450074951906781,1.25,0.2992490104266575,0
1765903342.9882793,0.0,0.0,0.0,2.0,0.10790682832435974,0.10790682832435974,2.0,0.29704622427622474,0
1765903342.989256,0.0,0.0,0.0,1.25,-0.24336945856991027,-0.24336945856991027,1.25,0.29704622427622474,0
1765903342.9947712,0.0,0.0,0.0,1.25,-0.2435331125194231,-0.2435331125194231,1.25,0.29704622427622474,0
1765903342.9983385,0.0,0.0,0.0,0.5,-0.6,-0.6,0.5,0.30084516888573054,0
