controller,file_name,sample_count,duration_sec,approx_sample_rate_hz,rmse_cte,mae_cte,p95_abs_cte,max_abs_cte,rmse_heading,mae_heading,final_goal_distance,min_goal_distance,high_cte_ratio,mean_abs_cmd_linear,mean_abs_cmd_angular,rms_cmd_angular,success
PID,pid_sat_run1.csv,3467,174.16781949996948,19.99897008477728,0.38937436472889236,0.2805307654333179,0.7039699771761757,0.8361346607181966,0.8765255578836112,0.5615466887974602,0.058290381248079975,0.046084254954150236,0.3360253821747909,0.4516613584358048,0.7345225946063904,0.975658030023258,1
PID,pid_sat_run2.csv,2345,118.10537910461426,20.00092510687607,0.2820339230280521,0.19758725097755978,0.6129339190191009,0.8227653170855027,0.45330143135076806,0.3040618615881732,0.0620385526977147,0.0519679426799244,0.22217484008528784,0.5969316071830071,0.6539875393449222,0.852929305463531,1
PID,pid_sat_run3.csv,2648,133.2201702594757,20.002594330624547,0.27266865547861474,0.20623154169331442,0.5500458277197436,0.6094691866142439,0.5087398859832468,0.3555511423929537,0.08797118110201452,0.08548759878255886,0.25944108761329304,0.5867218163213983,0.6775785855667401,0.8944020448148633,1
BC,bc_sat_run1.csv,2387,119.94272637367249,20.001449690033382,0.19315340433752182,0.14728475770711316,0.42926745856587284,0.5110507922504696,0.35604018482952465,0.24107838043082552,0.2979756269400183,0.29794076206606573,0.09216589861751152,0.5581473871962088,0.39733475873432883,0.550661099870774,1
BC,bc_sat_run2.csv,4035,202.24694991111755,20.0018789149028,0.421362356927238,0.3359531741137581,0.8182555629773851,1.024218993796141,0.4038451322724183,0.3229466941256678,1.0530047695438822,1.0269107195621583,0.34374225526641883,0.35239818356057556,0.648777901165341,0.8230440700647436,0
BC,bc_sat_run3.csv,2639,132.38705968856812,19.99734913680075,0.3846778763217336,0.24598322292684968,0.8419717860248489,0.8966199527032447,0.5367189411537231,0.3838626575558721,2.155522116008554,2.1541969092388156,0.25843122394846535,0.4916962992034085,0.5843305767532073,0.7748617912490418,0
