timestamp_sec,odom_linear_x,odom_angular_z,cmd_linear_x,cmd_angular_z,scan_min,scan_mean,scan_std,scan_front_min,scan_left_min,scan_right_min,traj_cross_track_error,traj_heading_error,traj_goal_distance
1776515298.2307887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.3379054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.443979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.5562484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.671399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.780954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515298.8975935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.049122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.174629,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.2894533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.4006412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.5118062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.6257935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.7372813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.843099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515299.967926,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515300.1166773,0.7952372315615421,0.34495697271787934,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1776515300.3120039,0.7898268562777593,0.33990417476989954,nan,nan,0.920753002166748,2.645566782832256,2.5111800937537345,1.6268415451049805,0.920753002166748,1.484660029411316,nan,nan,nan
1776515300.44475,0.7874197052784123,0.3413636588317972,nan,nan,0.9297037124633789,2.640213361666447,2.5156990793027307,1.620559811592102,0.9297037124633789,1.4728622436523438,nan,nan,nan
1776515300.567879,0.7928589873855331,0.36622778262466343,nan,nan,0.9363134503364563,2.6270979812143027,2.4974715527068003,1.611220359802246,0.9363134503364563,1.4602171182632446,nan,nan,nan
1776515301.0310917,0.7934157160810854,0.3695844634640701,0.8,0.4923804496171447,0.9588001370429993,2.619043576287297,2.501492588895323,1.611922264099121,0.9588001370429993,1.4467403888702393,nan,nan,nan
1776515301.1533303,0.7935453291825614,0.375914469760892,0.8,0.41782222909828703,0.9598336219787598,2.6067271983039038,2.4884143554861446,1.6161308288574219,0.9598336219787598,1.427457571029663,nan,nan,nan
