id,x,y,z,yaw,v_hint
0,2.336414,-7.314039,0.002472,,
1,4.071581,-6.822149,0.006378,,
2,3.462025,-6.953393,-0.001434,,
3,5.281209,-6.435301,0.002472,,
4,4.791473,-6.431778,-0.001373,,
5,5.859576,-6.896200,0.002472,,
6,7.280552,-7.176712,0.002472,,
