idx,s,x,y,yaw,kappa,v_ref
81,8.100000,9.096050,-7.905445,-0.120928,0.850852,0.800000
82,8.200000,9.195319,-7.917509,-0.120928,0.000000,0.800000
83,8.300000,9.294589,-7.929572,-0.120928,0.000000,0.800000
84,8.400000,9.393859,-7.941635,-0.120928,0.000000,0.800000
85,8.500000,9.493128,-7.953699,-0.120928,-0.000000,0.800000
86,8.600000,9.592398,-7.965762,-0.120928,0.000000,0.800000
87,8.700000,9.691668,-7.977825,-0.117908,0.030199,0.800000
88,8.800000,9.790972,-7.989589,-0.110731,0.071770,0.800000
89,8.900000,9.890360,-8.000639,-0.110731,0.000000,0.800000
90,9.000000,9.989748,-8.011690,-0.110731,-0.000000,0.800000
91,9.100000,10.089135,-8.022740,-0.110731,0.000000,0.800000
92,9.200000,10.188523,-8.033791,-0.110731,-0.000000,0.800000
93,9.300000,10.287910,-8.044841,-0.110731,0.000000,0.800000
94,9.400000,10.387298,-8.055892,-0.110731,-0.000000,0.800000
95,9.500000,10.486685,-8.066942,-0.110731,0.000000,0.800000
96,9.600000,10.586073,-8.077992,-0.110731,0.000000,0.800000
97,9.700000,10.685460,-8.089043,-0.110731,-0.000000,0.800000
98,9.800000,10.784848,-8.100093,-0.110731,0.000000,0.800000
99,9.900000,10.884236,-8.111144,-0.110731,0.000000,0.800000
100,10.000000,10.983623,-8.122194,-0.110731,-0.000000,0.800000
101,10.100000,11.083011,-8.133245,-0.110731,-0.000000,0.800000
102,10.200000,11.182398,-8.144295,-0.110731,0.000000,0.796950
103,10.300000,11.281786,-8.155346,-0.110731,-0.000000,0.659643
104,10.400000,11.381173,-8.166396,0.055250,1.822975,0.484901
105,10.500000,11.462192,-8.161915,1.848530,42.699475,0.187428
106,10.600000,11.434775,-8.065748,1.443879,-4.538818,0.484901
107,10.700000,11.445257,-7.983603,0.584296,-10.904811,0.370883
108,10.800000,11.528667,-7.928441,0.584296,0.000000,0.580994
109,10.900000,11.612077,-7.873280,0.584296,0.000000,0.733181
110,11.000000,11.695487,-7.818119,0.584296,0.000000,0.800000
111,11.100000,11.778897,-7.762958,0.584296,-0.000000,0.800000
112,11.200000,11.862307,-7.707796,0.584296,0.000000,0.800000
113,11.300000,11.945717,-7.652635,0.584296,-0.000000,0.800000
114,11.400000,12.029127,-7.597474,0.359563,-2.291384,0.800000
115,11.500000,12.121065,-7.562914,0.200629,-1.611959,0.800000
116,11.600000,12.219059,-7.542986,0.200629,-0.000000,0.800000
117,11.700000,12.317053,-7.523057,0.200629,0.000000,0.800000
118,11.800000,12.415047,-7.503128,0.200629,-0.000000,0.800000
119,11.900000,12.513041,-7.483200,0.200629,0.000000,0.800000
120,12.000000,12.611036,-7.463271,0.200629,-0.000000,0.800000
121,12.100000,12.709030,-7.443343,0.302879,1.027109,0.800000
122,12.200000,12.804034,-7.413655,0.393892,0.913828,0.800000
123,12.300000,12.896376,-7.375276,0.393892,0.000000,0.800000
124,12.400000,12.988719,-7.336897,0.393892,-0.000000,0.800000
125,12.500000,13.081061,-7.298519,0.393892,0.000000,0.800000
126,12.600000,13.173403,-7.260140,0.393892,0.000000,0.800000
127,12.700000,13.265745,-7.221762,0.393892,-0.000000,0.800000
128,12.800000,13.358087,-7.183383,0.393892,0.000000,0.800000
129,12.900000,13.450430,-7.145005,0.393892,-0.000000,0.800000
130,13.000000,13.542772,-7.106626,0.393892,0.000000,0.800000
131,13.100000,13.635114,-7.068248,0.327310,-0.667335,0.800000
132,13.200000,13.729549,-7.036185,0.245890,-0.816433,0.800000
133,13.300000,13.826541,-7.011843,0.245890,0.000000,0.800000
134,13.400000,13.923533,-6.987501,0.245890,0.000000,0.800000
135,13.500000,14.020525,-6.963159,0.245890,-0.000000,0.800000
136,13.600000,14.117517,-6.938817,0.245890,0.000000,0.800000
137,13.700000,14.214509,-6.914475,0.245890,-0.000000,0.800000
138,13.800000,14.311501,-6.890133,0.245890,0.000000,0.800000
139,13.900000,14.408493,-6.865791,0.245890,0.000000,0.800000
140,14.000000,14.505485,-6.841449,0.245890,-0.000000,0.800000
141,14.100000,14.602478,-6.817107,0.245890,0.000000,0.800000
142,14.200000,14.699470,-6.792765,0.245890,0.000000,0.800000
143,14.300000,14.796462,-6.768423,0.245890,-0.000000,0.800000
144,14.400000,14.893454,-6.744081,0.245890,0.000000,0.800000
145,14.500000,14.990446,-6.719739,0.245890,-0.000000,0.800000
146,14.600000,15.087438,-6.695397,0.245890,0.000000,0.800000
147,14.700000,15.184430,-6.671055,0.245890,0.000000,0.800000
148,14.800000,15.281422,-6.646713,0.245890,0.000000,0.800000
149,14.900000,15.378414,-6.622371,0.245890,-0.000000,0.800000
150,15.000000,15.475406,-6.598029,0.245890,0.000000,0.800000
151,15.100000,15.572399,-6.573687,0.245890,-0.000000,0.800000
152,15.200000,15.669391,-6.549345,0.245890,0.000000,0.800000
153,15.300000,15.766383,-6.525003,0.245890,0.000000,0.800000
154,15.400000,15.863375,-6.500661,0.518654,2.815656,0.729887
155,15.500000,15.947383,-6.452711,0.759749,2.480277,0.777670
156,15.600000,16.019884,-6.383837,0.759749,-0.000000,0.800000
157,15.700000,16.092385,-6.314963,0.759749,0.000000,0.800000
158,15.800000,16.164886,-6.246090,0.759749,-0.000000,0.800000
159,15.900000,16.237387,-6.177216,0.759749,0.000000,0.800000
160,16.000000,16.309888,-6.108342,0.759749,-0.000000,0.800000
161,16.100000,16.382389,-6.039468,0.759749,0.000000,0.800000
162,16.200000,16.454889,-5.970594,0.759749,-0.000000,0.800000
163,16.300000,16.527390,-5.901720,0.759749,0.000000,0.800000
164,16.400000,16.599891,-5.832846,0.759749,-0.000000,0.800000
165,16.500000,16.672392,-5.763972,0.509027,-2.547781,0.767299
166,16.600000,16.759205,-5.715523,0.462629,-0.465546,0.796860
167,16.700000,16.848693,-5.670893,0.462629,-0.000000,0.659534
168,16.800000,16.938181,-5.626263,1.050789,6.383371,0.484753
169,16.900000,16.987014,-5.540976,1.108136,0.578800,0.659534
170,17.000000,17.031647,-5.451489,1.108136,0.000000,0.796860
171,17.100000,17.076280,-5.362002,1.108136,-0.000000,0.800000
172,17.200000,17.120913,-5.272515,1.108136,-0.000000,0.800000
173,17.300000,17.165546,-5.183029,1.108136,0.000000,0.800000
174,17.400000,17.210179,-5.093542,1.108136,-0.000000,0.800000
175,17.500000,17.254812,-5.004055,1.108136,0.000000,0.800000
176,17.600000,17.299445,-4.914568,0.984131,-1.249138,0.800000
177,17.700000,17.354350,-4.831973,0.851547,-1.336166,0.800000
178,17.800000,17.420232,-4.756743,0.851547,0.000000,0.791643
179,17.900000,17.486114,-4.681513,0.851547,-0.000000,0.653222
180,18.000000,17.551996,-4.606282,1.453741,6.616709,0.476129
181,18.100000,17.563266,-4.510441,1.568260,1.168396,0.653222
182,18.200000,17.563520,-4.410441,1.568260,0.000000,0.791643
183,18.300000,17.563773,-4.310441,1.568260,0.000000,0.800000
184,18.400000,17.564027,-4.210442,1.568260,-0.000000,0.800000
185,18.500000,17.564280,-4.110442,1.568260,0.000000,0.800000
186,18.600000,17.564534,-4.010442,1.568260,-0.000000,0.800000
187,18.700000,17.564788,-3.910443,1.568260,0.000000,0.800000
188,18.800000,17.565041,-3.810443,1.568260,0.000000,0.800000
189,18.900000,17.565295,-3.710443,1.568260,-0.000000,0.800000
190,19.000000,17.565549,-3.610444,1.568260,0.000000,0.800000
191,19.100000,17.565802,-3.510444,1.568260,0.000000,0.800000
192,19.200000,17.566056,-3.410444,1.568260,-0.000000,0.800000
193,19.300000,17.566309,-3.310445,1.622161,0.541841,0.790372
194,19.400000,17.561223,-3.211505,1.965168,3.532010,0.651680
195,19.500000,17.522800,-3.119181,1.965168,0.000000,0.790372
196,19.600000,17.484377,-3.026857,1.965168,-0.000000,0.800000
197,19.700000,17.445955,-2.934533,1.965168,0.000000,0.800000
198,19.800000,17.407532,-2.842209,1.965168,0.000000,0.800000
199,19.900000,17.369109,-2.749886,1.965168,-0.000000,0.800000
200,20.000000,17.330686,-2.657562,1.965168,-0.000000,0.800000
201,20.100000,17.292263,-2.565238,1.965168,0.000000,0.781596
202,20.200000,17.253841,-2.472914,1.965168,-0.000000,0.641008
203,20.300000,17.215418,-2.380590,1.918729,-0.489920,0.459230
204,20.400000,17.185066,-2.296904,-0.462200,-137.718824,0.104364
205,20.500000,17.274573,-2.341496,-0.462200,-0.000000,0.459230
206,20.600000,17.364081,-2.386088,-0.462200,0.000000,0.641008
207,20.700000,17.453588,-2.430680,-0.462200,-0.000000,0.727902
208,20.800000,17.543095,-2.475271,-0.462200,0.000000,0.574318
209,20.900000,17.632603,-2.519863,0.470484,11.552611,0.360334
210,21.000000,17.662239,-2.504791,2.036450,22.629610,0.257458
211,21.100000,17.617339,-2.415438,2.036450,-0.000000,0.516028
212,21.200000,17.572438,-2.326085,2.036450,0.000000,0.682851
213,21.300000,17.527537,-2.236732,2.036450,0.000000,0.800000
214,21.400000,17.482637,-2.147379,2.036450,-0.000000,0.800000
215,21.500000,17.437736,-2.058026,2.036450,0.000000,0.800000
216,21.600000,17.392835,-1.968674,2.036450,-0.000000,0.800000
217,21.700000,17.347935,-1.879321,2.036450,-0.000000,0.800000
218,21.800000,17.303034,-1.789968,2.036450,0.000000,0.800000
219,21.900000,17.258133,-1.700615,2.036450,-0.000000,0.800000
220,22.000000,17.213233,-1.611262,2.167800,1.329264,0.800000
221,22.100000,17.157957,-1.529944,2.422951,2.608097,0.758375
222,22.200000,17.082687,-1.464107,2.422951,0.000000,0.800000
223,22.300000,17.007416,-1.398271,2.422951,-0.000000,0.800000
224,22.400000,16.932146,-1.332435,2.422951,0.000000,0.800000
225,22.500000,16.856876,-1.266599,2.422951,0.000000,0.800000
226,22.600000,16.781606,-1.200762,2.422951,-0.000000,0.800000
227,22.700000,16.706336,-1.134926,2.441935,0.190306,0.696111
228,22.800000,16.630199,-1.070841,2.940882,5.271091,0.533452
229,22.900000,16.532206,-1.050905,2.940882,-0.000000,0.696111
230,23.000000,16.434214,-1.030968,2.940882,0.000000,0.800000
231,23.100000,16.336221,-1.011031,2.940882,-0.000000,0.800000
232,23.200000,16.238229,-0.991095,2.940882,-0.000000,0.800000
233,23.300000,16.140236,-0.971158,2.849773,-0.914199,0.800000
234,23.400000,16.044787,-0.942486,2.775826,-0.741561,0.800000
235,23.500000,15.951402,-0.906719,2.775826,0.000000,0.800000
236,23.600000,15.858017,-0.870952,2.775826,-0.000000,0.800000
237,23.700000,15.764632,-0.835186,2.789247,0.134356,0.800000
238,23.800000,15.670971,-0.800748,3.097388,3.146531,0.690446
239,23.900000,15.571068,-0.796329,3.097388,-0.000000,0.800000
240,24.000000,15.471166,-0.791910,3.077475,-0.199227,0.800000
241,24.100000,15.371456,-0.785508,2.992576,-0.850628,0.800000
242,24.200000,15.272564,-0.770661,2.992576,0.000000,0.800000
243,24.300000,15.173672,-0.755815,2.992576,-0.000000,0.800000
